127.0.0.1 - - [20/Aug/2021:13:02:03 +0900] "GET / HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:07 +0900] "GET / HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:08 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:26 +0900] "GET /main HTTP/1.1" 200 16073
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:27 +0900] "GET /resources/css/main.css HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:27 +0900] "GET /resources/img/VS_logo.png HTTP/1.1" 200 7349
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=26 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=23 HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=22 HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=19 HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=24 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=21 HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=14 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:28 +0900] "GET /getPcover?vinId=5 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:29 +0900] "GET /getPcover?vinId=6 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:29 +0900] "GET /display?fileName=2021%5C08%5C15%2Fs_7285f9af-d264-4323-9d20-4db727ff2e71_bottom_pants_2.jpg HTTP/1.1" 200 11577
0:0:0:0:0:0:0:1 - - [20/Aug/2021:13:02:29 +0900] "GET /display?fileName=2021%5C08%5C04%2Fs_6f15c0e1-446a-462a-ac59-e7fc8cac0f4a_onepiece_jumpsuite.jpg HTTP/1.1" 200 9556
